id	ar
2011/s/2011/463/305:7	وقد سنّت باراغواي وبيرو وشيلي وكولومبيا تشريعات تمنح سلطات خاصة في مجال التحقيق للسلطات المعنية بإنفاذ القانون.
2005/s/2005/686/23:1	أن يطلب إلى الأمانة أن تقدم تقارير عن المستجدات فيما يتصل بمسالة التعويضات المزدوجة المحتملة من الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها خلال اجتماعاته المقبلة، وأن تبقي المسألة على جدول أعمال الدورة التالية لمجس الإدارة، وأن تتم الموافقة على طلب الأمانة تمديد عقود خمسة من الموظفين حتى 31 كانون الأول/ديسمبر 2005، لتقديم الدعم لخبراء المحاسبة في مجال الأدلة الجنائية وتنفيذ أية توصيات يمكن أن تُقدم بخصوص التعويضات المزدوجة المحتملة.
2011/s/2011/245/131:3	ولكن رغم أن الفريق لا يرى أن المشورة التقنية شبه العسكرية المتاحة على الإنترنت تشكل تهديدا يضاهي التدريب الميداني، فإن إمكانياتها تتزايد مع تحسين نوعية المشورة المقدمة.
2014/s/2014/934/17:1	:: وإنشاء برنامج استثمارات ذات أولوية للفترة 2015-2017 تبلغ قيمته 208 7 بلايين فرنك من فرنكات الجماعة المالية الأفريقية (حوالي 15 بليون دولار).
2005/s/2005/642/28:3	وأكد على ضرورة تعزيز الحوار في إطار المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لبلوغ تلك الغاية.
2010/s/2010/528/121:3	والمخاطر كبيرة دون شك لأنّ عدم الوفاء بالموعد النهائي المحدّد في اتفاق السلام الشامل لإجراء الاستفتاءين قد تكون له عواقب خطيرة.
2014/s/2014/929/47:6	وأعرب بعض أعضاء المجلس عن قلقهم لأن الظروف لم تسمح حتى الآن ببدء التحقيق في الجرائم التي يرتكبها الثوّار.
2014/s/2014/869/17:4	فالمديرية التنفيذية للجنة مكافحة الإرهاب، على سبيل المثال، عملت بشكل مكثّف مع الدول من أجل بناء قدرات هذه الدول في مجال إدارة الحدود لمراقبة تحركات الإرهابيين، وقدراتها في مجال العدالة الجنائية على التصدي لغسل الأموال.
1999/s/res/1267_1999_/37:1	٧ - يطلب إلى جميع الدول التقيد بأحكام هذا القرار بغض النظر عن وجود أي حقوق أو التزامات ممنوحة أو مفروضة بموجب أي اتفاق دولي أو أي عقد تم إبرامه أو أي ترخيص أو إذن ممنوح قبل تاريخ بدء نفاذ التدابير المفروضة في الفقرة ٤ أعﻻه؛
2012/s/2012/245/16:1	2 - يدعو الحكومة السورية إلى أن تنفذ بشكل واضح كل الالتزامات التي وافقت على الوفاء بها في التفاهم الأولي وعلى نحو ما ينص عليه القرار 2042 (2012)، وهي (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف كل استخدام للأسلحة الثقيلة في تلك المراكز، (ج) إكمال سحب الحشود العسكرية في المراكز السكانية وحولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية لتعود إلى ثكناتها أو إلى مواقع نشر مؤقتة لتسهيل وقف مستمر لإطلاق النار؛
2014/s/2014/921/27:1	١٦ - وترد حالات الإعفاء من حظر توريد الأسلحة في الفقرة 54 من القرار 2127 (2013) ويجوز منح الإعفاء من أجل ما يلي: الإمدادات المخصصة حصرا لدعم أو استخدام بعثة توطيد السلام في جمهورية أفريقيا الوسطى، وبعثة الدعم الدولية بقيادة أفريقية في جمهورية أفريقيا الوسطى، ومكتب الأمم المتحدة المتكامل لبناء السلام في جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة له، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنشورة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))()؛ أو إمدادات المعدات العسكرية غير الفتاكة المقصود استخدامها حصراً في الأغراض الإنسانية والوقائية، وما يتصل بذلك من مساعدة أو تدريب تقنيين (الفقرة 54 (ب))؛ أو الملابس الواقية، بما فيها السترات الواقية من الرصاص والخوذات العسكرية التي يجلبها بصفة مؤقتة إلى جمهورية أفريقيا الوسطى أفراد الأمم المتحدة وممثلو وسائط الإعلام والعاملون في مجالي الشؤون الإنسانية والإنمائية والأفراد المرتبطون بهم، لاستخدامهم الشخصي فقط (الفقرة 54 (ج))؛ أو إمدادات الأسلحة الصغيرة والمعدات الأخرى ذات الصلة المخصصة حصرا للاستخدام في دوريات دولية توفر الأمن في منطقة نهر سانغا المحمية التي تتشاطرها ثلاثة بلدان لحمايتها من الصيد غير المشروع وتهريب العاج والأسلحة، وغيرها من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو للالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ أو إمدادات الأسلحة والمعدات الفتاكة المتصلة بها لقوات أمن جمهورية أفريقيا الوسطى، المقصود بها حصرا دعم عملية إصلاح قطاع الأمن في جمهورية أفريقيا الوسطى واستعمالها فيها، حسبما وافقت عليه اللجنة مسبقا (الفقرة 54 (هـ))؛ أو مبيعات الأسلحة الأخرى وما يتصل بها من أعتدة أو توريدها أو توفير المساعدة أو الأفراد بأي شكل آخر (الفقرة 54 (و)).
